smiles	activity
O=C1N(C(=O)N(C=2NC(=NC21)C3CCCC3)CCC)CCC	N
O(C=1C(N2CCNCC2)=CC=CC1)C	A
OC=1N(CCC)C2=NC=NC2=C(O)N1	N
ClC1=CC2=C(N(C(=O)CN=C2C=3C=CC(Cl)=CC3)C)C=C1	N
O=C(O)CCCC#CCC#CCC#CCC#CCCCCC	N
FC=1C=C2C(NC(=C2)C(O)=O)=CC1	N
O=C1N(C(=O)N(C=2N=CN(C21)CCO)C)C	N
OC1=C(C=CCCC#CCCCC#CCO)C(=C(O)C(=C1C)C)C	N
ClC=1C=CC(C(=O)N2C(=C(C3=C2C=CC(OC)=C3)CC(OCC(=O)O)=O)C)=CC1	N
S(=O)(=O)(N)C=1SC(NC(=O)C)=NN1	N
O=C(O)C(NC(=O)C)CC1=CC=CC=C1	N
O(CN1C2=NC(=NC(O)=C2N=C1)N)CCO	N
N(C=1N=C(N(C)C)N=C(N(C)C)N1)(C)C	N
O=C1N(C(=O)N(C=2N=CNC21)C)C	N
O=C1N(CCC1)C(=O)C=2C=CC(OC)=CC2	N
O(CC(O)CNC(C)C)C1=CC=C(C=C1)CC(=O)N	N
ClC1=CC=C(C(CC(=O)O)CN)C=C1	N
S1(=O)(=O)NC(NC2=C1C=C(S(=O)(=O)N)C(=C2)C(F)(F)F)CC3=CC=CC=C3	N
N1(C(C2=CC=C(C=C2)C3=CC=CC=C3)C4=CC=CC=C4)C=CN=C1	N
BrC1=C(NC=2NCCN2)C=CC3=NC=CN=C13	N
O(CCCC)C1=CC=C(CC(O)=NO)C=C1	N
O(CCCN(CCCC)CCCC)C(=O)C1=CC=C(N)C=C1	N
O(CC(CCC)(COC(=O)N)C)C(=O)NC(C)C	N
FC(F)(F)C1=CC=2N=C(N3CCN(CC3)C)C=4N(C2C=C1)C=CC4	A
ClC=1C(S(=O)(=O)N)=CC=2S(=O)(=O)N=CNC2C1	N
O(CCCCC=1N(N=NN1)C2CCCCC2)C3=CC=4CCC(=O)NC4C=C3	N
O(C=1C(C2CC2)=CC=CC1)CC3=NCCN3	A
FC1=CC=C(C2(OCC3=C2C=CC(=C3)C#N)CCCN(C)C)C=C1	N
O1C=2C=C(C(=O)N3CCCCC3)C=CC2OCC1	N
S(=O)(=O)(C=1C=CC(N)=CC1)C=2C=CC(N)=CC2	N
S1C=2N(C(=O)C(CCN3CCC(CC3)=C(C4=CC=C(F)C=C4)C5=CC=CC=C5)=C(N2)C)C=C1	N
FC1=C(C=2C=C(C(O)=CC2)C(=O)O)C=CC(F)=C1	N
OC(CCCCCCCCCCCCCCC)C(N)CO	N
OC(CN1CCN(CC1)C2=CC=CC=C2)CO	N
N(C(=O)C1=CC=CC=C1)C2=CC=CC=C2	N
N1C2=C(C(=C3C(=C2C)C=CN=C3)C)C=4C1=CC=CC4	N
OCC(NCCNC(CC)CO)CC	N
O1C(C=2NC=3C(C2CC1)=CC=CC3CC)(CC)CC(=O)O	N
O=C(O)CC1=CC=C(C2=CC=CC=C2)C=C1	N
ClC1=C(C2C(C(=NC(=C2C(OC)=O)C)C)C(OCC)=O)C=CC=C1Cl	N
S(C=1C=C2NC(=NC2=CC1)NC(OC)=O)C3=CC=CC=C3	N
ClC1=CC=C(C(=O)C=2C=CC(OC(C)(C)C(OC(C)C)=O)=CC2)C=C1	N
FC(F)(F)C=1C=C(NC2=C(C=CC=C2)C(O)=O)C=CC1	N
S(=O)(=O)(NC(=O)NC1CCCCC1)C2=CC=C(CCNC(=O)C3=NC=C(N=C3)C)C=C2	N
ClC=1C=C(C(=O)NCCC2=CC=C(S(=O)(=O)NC(=O)NC3CCCCC3)C=C2)C(OC)=CC1	N
ClC=1C=2OC3(C(CC(=O)C=C3OC)C)C(=O)C2C(OC)=CC1OC	N
S(=O)(=O)(N1C(CNCC1)C)C=2C=3C(C=CC2)=CN=CC3	N
O=C(NCCCCCCNC(=O)C)C	N
ClC=1C=CC(C(=O)N2C3=C(C(=C2C)CC(=O)O)C=C(OC)C=C3)=CC1	N
O(C(C)C)C=1C=C2OC=C(C(=O)C2=CC1)C3=CC=CC=C3	N
S1C(=C(CC(O)=NO)C=C1)C2=CC=CC=C2	N
OC(=NO)C(CCC1=CC=CC=C1)C	N
